"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";" Total"
"150195 CACHOEIRA DO PIRIA";"64,31";"85,58";"82,95";"67,69";"68,56";"61,26";"26,21";"35,91";"18,41";"31,77";"52,33"
"150200 CACHOEIRA DO ARARI";"72,23";"68,94";"79,96";"76,25";"79,19";"95,27";"50,24";"83,62";"81,71";"71,42";"74,32"
"150210 CAMETA";"79,53";"81,64";"75,55";"64,51";"89,43";"69,23";"39,38";"72,52";"71,32";"68,66";"70,07"
"150215 CANAA DOS CARAJAS";"74,58";"88,86";"95,02";"88,43";"85,88";"101,49";"76,93";"76,12";"68,91";"88,18";"83,14"
"150220 CAPANEMA";"81,79";"90,28";"79,81";"62,46";"82,16";"74,89";"44,99";"64,54";"66,31";"71,48";"71,15"
"150230 CAPITAO POCO";"86,45";"64,57";"58,10";"56,22";"63,62";"79,30";"55,18";"79,43";"77,45";"84,73";"70,15"
"150240 CASTANHAL";"78,80";"86,35";"79,11";"70,32";"88,78";"85,37";"53,56";"68,00";"73,11";"82,02";"75,68"
"150250 CHAVES";"54,72";"76,45";"77,12";"40,54";"35,96";"30,90";"29,63";"51,29";"51,04";"50,18";"45,78"
"150260 COLARES";"108,83";"87,96";"84,08";"80,80";"108,72";"105,87";"58,59";"96,12";"72,26";"79,66";"87,74"
"150270 CONCEICAO DO ARAGUAIA";"75,39";"61,18";"59,15";"56,10";"55,04";"70,71";"43,90";"53,32";"55,52";"43,56";"57,82"
"150275 CONCORDIA DO PARA";"89,89";"107,43";"98,73";"92,18";"74,43";"63,32";"54,30";"77,93";"85,73";"83,65";"80,47"
"150276 CUMARU DO NORTE";"99,22";"101,16";"120,97";"61,14";"30,94";"82,04";"51,91";"68,04";"32,07";"28,85";"64,22"
"150277 CURIONOPOLIS";"77,20";"83,09";"78,24";"70,60";"59,23";"65,71";"45,76";"43,89";"67,86";"94,12";"66,53"
"150280 CURRALINHO";"111,18";"116,83";"95,06";"80,86";"39,68";"52,06";"11,84";"19,70";"43,04";"60,56";"60,26"
"150285 CURUA";"90,68";"99,29";"79,10";"82,63";"65,20";"112,09";"70,40";"78,74";"94,66";"94,80";"85,29"
"150290 CURUCA";"92,58";"73,41";"61,26";"72,31";"76,05";"28,77";"21,09";"51,83";"64,08";"78,32";"61,93"
